Timestamp,Rede,Token,Cotação USD,Cotação BRL,Função,Gas Usado,Preço do Gas (em gwei),Custo (token),USD,BRL
2025-08-14T21:00:08.220Z,Ethereum,Ethereum,4530.0300,24535.0000,setPreco,26641,0.776945964,0.000020698617426924,0.0938,0.5078
2025-08-14T21:00:08.222Z,BNB Chain,BNB Chain,833.5800,4514.7700,setPreco,26641,0.1,0.0000026641,0.0022,0.0120
2025-08-14T21:00:08.223Z,Polygon,Polygon,0.2355,1.2800,setPreco,26641,26.000000092,0.000692666002450972,0.0002,0.0009
2025-08-14T22:00:06.836Z,Ethereum,ethereum,4479.1000,24238.0000,Deploy,519148,0.743538491,0.000386006520525668,1.7290,9.3560
2025-08-14T22:00:06.845Z,BNB Chain,binancecoin,829.9400,4491.0500,Deploy,519148,0.1,0.0000519148,0.0431,0.2332
2025-08-14T22:00:06.846Z,Polygon,matic-network,0.2330,1.2600,Deploy,519148,26.000000105,0.01349784805451054,0.0031,0.0170
2025-08-14T22:00:06.871Z,Ethereum,Ethereum,4479.1000,24238.0000,setNome,28132,0.743538491,0.000020917224828812,0.0937,0.5070
2025-08-14T22:00:06.872Z,BNB Chain,BNB Chain,829.9400,4491.0500,setNome,28132,0.1,0.0000028132,0.0023,0.0126
2025-08-14T22:00:06.873Z,Polygon,Polygon,0.2330,1.2600,setNome,28132,26.000000105,0.00073143200295386,0.0002,0.0009
2025-08-14T22:00:06.895Z,Ethereum,Ethereum,4479.1000,24238.0000,setPreco,26641,0.743538491,0.000019808608938731,0.0887,0.4801
2025-08-14T22:00:06.896Z,BNB Chain,BNB Chain,829.9400,4491.0500,setPreco,26641,0.1,0.0000026641,0.0022,0.0120
2025-08-14T22:00:06.897Z,Polygon,Polygon,0.2330,1.2600,setPreco,26641,26.000000105,0.000692666002797305,0.0002,0.0009
2025-08-14T23:00:09.143Z,Ethereum,ethereum,4533.2300,24532.0000,Deploy,519148,0.528704093,0.000274475672472764,1.2443,6.7334
2025-08-14T23:00:09.161Z,BNB Chain,binancecoin,838.9300,4539.9400,Deploy,519148,0.1,0.0000519148,0.0436,0.2357
2025-08-14T23:00:09.168Z,Polygon,matic-network,0.2363,1.2800,Deploy,519148,26.081000096,0.013539899037838208,0.0032,0.0173
2025-08-14T23:00:09.281Z,Ethereum,Ethereum,4533.2300,24532.0000,setNome,28132,0.528704093,0.000014873503544276,0.0674,0.3649
2025-08-14T23:00:09.295Z,BNB Chain,BNB Chain,838.9300,4539.9400,setNome,28132,0.1,0.0000028132,0.0024,0.0128
2025-08-14T23:00:09.298Z,Polygon,Polygon,0.2363,1.2800,setNome,28132,26.081000096,0.000733710694700672,0.0002,0.0009
2025-08-14T23:00:09.393Z,Ethereum,Ethereum,4533.2300,24532.0000,setPreco,26641,0.528704093,0.000014085205741613,0.0639,0.3455
2025-08-14T23:00:09.401Z,BNB Chain,BNB Chain,838.9300,4539.9400,setPreco,26641,0.1,0.0000026641,0.0022,0.0121
2025-08-14T23:00:09.427Z,Polygon,Polygon,0.2363,1.2800,setPreco,26641,26.081000096,0.000694823923557536,0.0002,0.0009
2025-08-15T17:00:06.661Z,Ethereum,ethereum,4418.2300,23867.0000,Deploy,519148,1.048120759,0.000544129795793332,2.4041,12.9867
2025-08-15T17:00:06.667Z,BNB Chain,binancecoin,819.6100,4427.4500,Deploy,519148,0.1,0.0000519148,0.0425,0.2299
2025-08-15T17:00:06.669Z,Polygon,matic-network,0.2315,1.2500,Deploy,519148,27.000026245,0.01401700962503926,0.0032,0.0175
2025-08-15T17:00:06.715Z,Ethereum,Ethereum,4418.2300,23867.0000,setNome,28132,1.048120759,0.000029485733192188,0.1303,0.7037
2025-08-15T17:00:06.717Z,BNB Chain,BNB Chain,819.6100,4427.4500,setNome,28132,0.1,0.0000028132,0.0023,0.0125
